Amount,vendor,date,description,category,Location
153,dorm,28.11.2018,accomodation,accomodation,czech
18.5,jakdojade,29.11.2018,tram,transport,czech
40.11,tea-shop,29.11.2018,food,groceries,czech
38.32,rossmann,29.11.2018,supplies,groceries,czech
20.39,biedronka,29.11.2018,food,groceries,czech
34.88,pharmacy,30.11.2018,supplies,groceries,czech
9,bauhaus,30.11.2018,supplies,groceries,czech
20,atm,30.11.2018,withdrawal,bank,sweden
23,christmas-bar,30.11.2018,alcohol,activities,sweden
18,christmas-bar,30.11.2018,food,fastfood,sweden
75,flixbus,02.12.2018,bus,travel,sweden
4.5,gdynia-wc,03.12.2018,wc,wc,sweden
9,mcdonalds,03.12.2018,food,fastfood,sweden
5,pkp-skm,03.11.2018,train,travel,sweden
135,intercity,03.11.2018,train,travel,sweden
48,bobby-burgers,03.12.2018,food,fastfood,sweden
3.5,pkp-skm,03.12.2018,train,travel,sweden
8,biedronka,03.12.2018,food,groceries,sweden
130,flixbus,03.12.2018,bus,travel,sweden
4.5,krakow-wc,04.12.2018,wc,wc,sweden
31.5,pizzaeria,04.12.2018,food,fastfood,sweden
51.5,sereno,04.12.2018,accomodation,travel,germany
103,flixbus,05.12.2018,bus,travel,germany
69,biedronka,05.12.2018,food,groceries,germany
52,multikino,06.12.2018,cinema,activities,germany
54,wood-shop,06.12.2018,supplies,groceries,germany
16.5,biedronka,06.12.2018,food,groceries,germany
5,jakdojade,07.12.2018,bus,transport,germany
21,biedronka,07.12.2018,food,groceries,germany
15,tiger,07.12.2018,gifts,gifts,germany
665,dorm,11.12.2018,accomodation,accomodation,germany
172,biedronka,11.12.2018,food,groceries,germany
4,jakdojade,13.12.2018,tram,transport,germany
50,tiger,15.12.2018,gifts,gifts,germany
74,biedronka,15.12.2018,food,groceries,germany
4,jakdojade,18.12.2018,bus,transport,germany
17,ber-bus,18.12.2018,bus,travel,germany
11,ber-bus,18.12.2018,bus,travel,sweden
41,ber-mil-train,18.12.2018,train,travel,sweden
52,mcdonalds,18.12.2018,food,fastfood,sweden
7,portello,18.12.2018,food,groceries,sweden
259,flixbus,18.12.2018,bus,travel,sweden
38,konzum,22.12.2018,food,groceries,sweden
15,ice-skating,23.12.2018,ice-skating,activities,sweden
15,ice-skating,23.12.2018,ice-skating,activities,sweden
100,ina,23.12.2018,gas,car,sweden
10,konzum,24.12.2018,food,groceries,sweden
100,ina,27.12.2018,gas,car,sweden
120,ice-skating,27.12.2018,ice-skating,activities,sweden
200,ina,27.12.2018,gas,car,germany
12,coffee-shop,06.01.2019.,coffee,activities,poland
